Rank,Team Name,University,Solved,Penalty,Page,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8
1,BUET_hotasha,BANGLADESH UNIVERSITY OF ENGINEERING AND TECHNOLOGY,6,673,1,"✓
1(200)","✓
3(218)","✓
2(39)","✓
2(68)","✓
3(112)","✓
1(36)",,
2,RU_DarkSoul$,UNIVERSITY OF RAJSHAHI,5,558,1,,"✓
6(338)","✓
1(17)","✓
1(41)","✓
1(107)","✓
1(55)",,
3,DU_Cypherpunks,UNIVERSITY OF DHAKA,5,503,1,1,"✓
4(281)","✓
1(13)","✓
1(16)","✓
3(141)","✓
1(52)",,
4,DU_Oblivion,UNIVERSITY OF DHAKA,5,381,1,1,"✓
2(109)","✓
1(18)","✓
3(94)","✓
2(129)","✓
1(31)",,
5,Infinite_Tsukuyomi,CHITTAGONG UNIVERSITY OF ENGINEERING & TECHNOLOGY,5,470,1,2,"✓
4(277)","✓
1(10)","✓
3(83)","★
2(52)","✓
2(48)",,
6,SUST_UpsideDown,SHAHJALAL UNIVERSITY OF SCIENCE AND TECHNOLOGY,5,495,1,"✓
3(266)",,"✓
1(15)","✓
1(33)","✓
2(133)","✓
1(48)",,
7,998244353,RAJSHAHI UNIVERSITY OF ENGINEERING & TECHNOLOGY,5,447,1,,"✓
5(312)","✓
1(12)","✓
1(24)","✓
2(86)","✓
1(13)",,
8,CoU_LastRunForMemories,COMILLA UNIVERSITY,4,175,1,2,6,"✓
1(13)","✓
1(21)","✓
1(72)","✓
2(69)",,
9,DU_skibidi,UNIVERSITY OF DHAKA,5,435,1,1,"✓
1(144)","✓
1(22)","✓
4(128)","✓
2(118)","✓
1(23)",,
10,RUET_a_bit_slower,RAJSHAHI UNIVERSITY OF ENGINEERING & TECHNOLOGY,4,348,1,,5,"✓
1(19)","✓
1(78)","✓
5(214)","✓
1(37)",,
11,RU_Pegasus,UNIVERSITY OF RAJSHAHI,5,588,1,,"✓
4(274)","✓
1(17)","✓
2(124)","✓
2(137)","✓
1(36)",,
12,BUET_LostPointer,BANGLADESH UNIVERSITY OF ENGINEERING AND TECHNOLOGY,6,754,1,"✓
1(204)","✓
3(161)","✓
3(70)","✓
1(17)","✓
5(247)","✓
2(55)",,
13,JUST_Null_Pointers,JASHORE UNIVERSITY OF SCIENCE AND TECHNOLOGY,5,666,1,1,"✓
1(237)","✓
1(18)","✓
1(57)","✓
3(263)","✓
1(91)",,
14,BUET_AlphaVersion,BANGLADESH UNIVERSITY OF ENGINEERING AND TECHNOLOGY,4,604,1,,,"✓
1(23)","✓
8(346)","✓
2(197)","✓
1(38)",,
15,BUET_Got_No_Rizz,BANGLADESH UNIVERSITY OF ENGINEERING AND TECHNOLOGY,4,228,1,1,3,"✓
1(18)","✓
1(52)","✓
2(117)","✓
1(41)",,
16,IUT_CocolaChampionBiscuit,ISLAMIC UNIVERSITY OF TECHNOLOGY,4,238,1,,9,"✓
1(21)","✓
6(160)","✓
1(41)","✓
1(16)",,
17,MathJuniors,"BEGUM ROKEYA UNIVERSITY, RANGPUR",4,373,1,,,"✓
1(14)","✓
2(94)","✓
4(227)","✓
1(38)",,2
18,SEC_BinaryTernary,SYLHET ENGINEERING COLLEGE,4,322,1,1,,"✓
1(14)","✓
2(103)","✓
1(130)","✓
2(75)",,
19,BUET_Quasar,BANGLADESH UNIVERSITY OF ENGINEERING AND TECHNOLOGY,5,360,1,"✓
1(209)",7,"✓
1(12)","✓
1(17)","✓
2(102)","✓
1(20)",2,
20,BUET_Centurions,BANGLADESH UNIVERSITY OF ENGINEERING AND TECHNOLOGY,4,256,1,5,,"✓
1(13)","✓
5(132)","✓
1(91)","✓
1(20)",,
21,JU_BinaryMosFet,JAHANGIRNAGAR UNIVERSITY,4,256,1,1,4,"✓
1(8)","✓
2(83)","✓
1(114)","✓
1(51)",19,
22,CoU_LimitLess,COMILLA UNIVERSITY,4,443,1,,,"✓
1(9)","✓
3(171)","✓
4(220)","✓
1(43)",,
23,RU_S_Cube,UNIVERSITY OF RAJSHAHI,4,296,1,1,9,"✓
1(15)","✓
1(27)","✓
2(193)","✓
1(61)",,
24,KU_Second_Team,KHULNA UNIVERSITY,4,463,1,,,"✓
3(93)","✓
6(228)","✓
2(99)","✓
1(43)",,
25,RUET_CrossGuild,RAJSHAHI UNIVERSITY OF ENGINEERING & TECHNOLOGY,4,413,1,,,"✓
1(17)","✓
3(136)","✓
2(206)","✓
1(54)",,
26,MIST_YaminIsAlive,MILITARY INSTITUTE OF SCIENCE AND TECHNOLOGY,4,417,1,,,"✓
1(16)","✓
3(127)","✓
4(242)","✓
1(32)",,
27,DU_Red_Horizon,UNIVERSITY OF DHAKA,4,242,1,,9,"✓
2(34)","✓
2(83)","✓
2(101)","✓
1(24)",,
28,IUT_cgpa_matters,ISLAMIC UNIVERSITY OF TECHNOLOGY,5,344,1,"✓
1(175)",8,"✓
1(17)","✓
1(39)","✓
2(102)","✓
1(11)",,
29,JnU_Shomonnoyok,"JAGANNATH UNIVERSITY, BANGLADESH",4,467,1,,4,"✓
2(45)","✓
5(179)","✓
3(174)","✓
3(69)",,
30,EWU_Not_Worthy,EAST WEST UNIVERSITY,5,541,1,"✓
1(218)",,"✓
1(16)","✓
1(88)","✓
1(122)","✓
1(97)",,
31,IUT_Oikotaan,ISLAMIC UNIVERSITY OF TECHNOLOGY,4,314,1,"✓
2(239)",6,"✓
1(15)","✓
1(36)",2,"✓
1(24)",,
32,SEC_LATERALUS,SYLHET ENGINEERING COLLEGE,4,395,1,,,"✓
1(17)","✓
1(99)","✓
3(213)","✓
2(66)",,
33,DU_Rumbling,UNIVERSITY OF DHAKA,4,449,1,,,"✓
2(41)","✓
3(102)","✓
6(250)","✓
2(56)",,
34,IUT_nCube,ISLAMIC UNIVERSITY OF TECHNOLOGY,4,451,1,1,6,"✓
2(42)","✓
4(118)","✓
2(217)","✓
2(74)",,
35,IUT_Organic_Baki,ISLAMIC UNIVERSITY OF TECHNOLOGY,4,550,1,6,,"✓
1(13)","✓
2(239)","✓
3(218)","✓
1(80)",,
36,DU_SHOMONNOYOKS,UNIVERSITY OF DHAKA,4,259,1,1,5,"✓
1(19)","✓
1(74)","✓
1(125)","✓
1(41)",,
37,CU_DWIMIK,UNIVERSITY OF CHITTAGONG,4,460,1,1,,"✓
1(10)","✓
5(246)","✓
2(176)","✓
1(28)",,
38,JU_the0dd1out,JAHANGIRNAGAR UNIVERSITY,6,731,1,"✓
1(205)","✓
1(198)","✓
1(17)","✓
2(66)","✓
4(178)","✓
1(67)",,
39,SEC_ZYX,SYLHET ENGINEERING COLLEGE,4,539,1,,,"✓
1(20)","✓
2(130)","✓
4(227)","✓
5(162)",,
40,Decision_Pending,MAWLANA BHASHANI SCIENCE AND TECHNOLOGY UNIVERSITY,4,453,1,,,"✓
1(17)","✓
3(150)","✓
3(185)","✓
2(101)",,
41,CoU_LastTryWithRST,COMILLA UNIVERSITY,4,405,1,,3,"✓
1(19)","✓
2(118)","✓
3(212)","✓
1(56)",,
42,BRUR_DFS,"BEGUM ROKEYA UNIVERSITY, RANGPUR",4,508,1,,,"✓
3(119)","✓
2(198)","✓
1(136)","✓
1(55)",,
43,CU_Chunoputi,UNIVERSITY OF CHITTAGONG,4,397,1,,,"✓
2(37)","✓
3(108)","✓
3(205)","✓
1(47)",,
44,BUET_WATLE,BANGLADESH UNIVERSITY OF ENGINEERING AND TECHNOLOGY,4,557,1,,,"✓
1(14)","✓
3(165)","✓
7(351)","✓
1(27)",,
45,JUST_Sleeping_Soldiers,JASHORE UNIVERSITY OF SCIENCE AND TECHNOLOGY,4,699,1,2,,"✓
1(20)","✓
1(89)","✓
7(318)","✓
9(272)",,
46,RU_TitaLeague,UNIVERSITY OF RAJSHAHI,4,407,1,,,"✓
3(68)","✓
1(72)","✓
3(221)","✓
1(46)",,
47,SUSTy Coder,SHAHJALAL UNIVERSITY OF SCIENCE AND TECHNOLOGY,5,518,1,"✓
2(191)",2,"✓
2(44)","✓
4(121)","✓
2(113)","✓
1(49)",,
48,IUT_notBlue,ISLAMIC UNIVERSITY OF TECHNOLOGY,4,395,1,7,,"✓
1(15)","✓
6(193)","✓
1(150)","✓
1(37)",,
49,DUET_RAD,DHAKA UNIVERSITY OF ENGINEERING & TECHNOLOGY - GAZIPUR,4,521,1,,,"✓
3(64)","✓
1(120)","✓
2(217)","✓
1(120)",,
50,RU_DynamicChips,UNIVERSITY OF RAJSHAHI,4,596,1,5,,"✓
3(94)","✓
2(166)","✓
1(186)","✓
4(150)",,
51,RecursiveRoot,CHITTAGONG UNIVERSITY OF ENGINEERING & TECHNOLOGY,4,502,1,3,,"✓
3(88)","✓
1(142)","✓
2(157)","✓
2(115)",,
52,JUST_Triple_Helix,JASHORE UNIVERSITY OF SCIENCE AND TECHNOLOGY,4,466,1,1,2,"✓
1(12)","✓
2(98)","✓
3(239)","✓
2(117)",,
53,Just Participant,DHAKA UNIVERSITY OF ENGINEERING & TECHNOLOGY - GAZIPUR,4,739,1,1,,"✓
1(29)","✓
2(125)","✓
4(285)","✓
7(300)",,
54,JU_Stack_OverFlow,JAHANGIRNAGAR UNIVERSITY,4,568,1,,,"✓
1(16)","✓
3(198)","✓
5(318)","✓
1(36)",,
55,HSTU_ARRIVAL,HAJEE MOHAMMAD DANESH SCIENCE AND TECHNOLOGY UNIVERSITY,4,663,1,,,"✓
2(39)","✓
1(21)","✓
4(292)","✓
9(311)",,
56,NSU_PyramidSchemers,NORTH SOUTH UNIVERSITY,5,791,1,,"✓
7(311)","✓
1(12)","✓
1(61)","✓
8(376)","✓
1(31)",,
57,KU_ErrorMakers,KHULNA UNIVERSITY,5,597,1,1,"✓
6(307)","✓
1(20)","✓
3(99)","✓
3(132)","✓
1(39)",,
58,SUST_RolledBack,SHAHJALAL UNIVERSITY OF SCIENCE AND TECHNOLOGY,4,194,1,6,11,"✓
1(18)","✓
2(59)","✓
2(103)","✓
1(14)",,
59,MIST_FrostByte_2.0,MILITARY INSTITUTE OF SCIENCE AND TECHNOLOGY,4,281,1,,3,"✓
1(14)","✓
2(84)","✓
2(129)","✓
1(54)",,
60,Orimura,BANGLADESH UNIVERSITY OF PROFESSIONALS,3,267,1,,,"✓
1(16)","✓
3(194)",6,"✓
1(57)",,
61,MU_Audacity,METROPOLITAN UNIVERSITY,4,268,1,,,"✓
1(16)","✓
1(73)","✓
1(131)","✓
1(48)",,
62,CoU_Skadooosh2.0,COMILLA UNIVERSITY,3,152,1,,,"✓
1(23)","✓
2(69)",4,"✓
1(60)",,
63,IUT_Eternatus,ISLAMIC UNIVERSITY OF TECHNOLOGY,4,355,1,8,,"✓
1(18)","✓
1(165)","✓
2(132)","✓
1(40)",,
64,SUST_Minions,SHAHJALAL UNIVERSITY OF SCIENCE AND TECHNOLOGY,5,401,1,"✓
1(160)",,"✓
1(12)","✓
2(82)","✓
2(117)","✓
1(30)",,
65,IIUC_DalVat,INTERNATIONAL ISLAMIC UNIVERSITY CHITTAGONG,4,380,1,,,"✓
1(13)","✓
3(198)","✓
2(112)","✓
1(57)",,
66,Silverwing_SST,RAJSHAHI UNIVERSITY OF ENGINEERING & TECHNOLOGY,4,280,1,,,"✓
1(19)","✓
1(95)","✓
2(123)","✓
1(43)",,
67,JU_WeKilledJohnWick'sDog,JAHANGIRNAGAR UNIVERSITY,4,351,1,1,11,"✓
1(21)","✓
3(151)","✓
2(120)","✓
1(59)",,
68,IU_Waving_Flag,"ISLAMIC UNIVERSITY, BANGLADESH",4,309,1,,,"✓
1(20)","✓
1(79)","✓
2(145)","✓
2(65)",,
69,EDU_CoPRIME,"EAST DELTA UNIVERSITY, CHITTAGONG",3,374,1,,,"✓
4(102)","✓
2(159)",2,"✓
2(113)",,
70,BUET_ALUCHASHI,BANGLADESH UNIVERSITY OF ENGINEERING AND TECHNOLOGY,4,328,1,7,4,"✓
1(36)","✓
3(92)","✓
4(139)","✓
1(61)",,
71,DU_Excalibur,UNIVERSITY OF DHAKA,3,182,1,,,"✓
1(18)","✓
3(127)",8,"✓
1(37)",5,
72,JU_OneMoreZer0,JAHANGIRNAGAR UNIVERSITY,4,323,1,2,,"✓
1(15)","✓
2(116)","✓
1(142)","✓
2(50)",,
73,RUET_Codebreakers,RAJSHAHI UNIVERSITY OF ENGINEERING & TECHNOLOGY,4,436,1,,,"✓
1(12)","✓
2(142)","✓
3(240)","✓
1(42)",,
74,ValoDekheEktaNaam,MAWLANA BHASHANI SCIENCE AND TECHNOLOGY UNIVERSITY,5,476,1,"✓
3(270)",8,"✓
1(18)","✓
3(104)","✓
2(73)","✓
1(11)",,
75,BRUR_NotStrongEnough,"BEGUM ROKEYA UNIVERSITY, RANGPUR",4,544,1,,,"✓
1(22)","✓
3(148)","✓
5(297)","✓
1(77)",,
76,TBA,"JAGANNATH UNIVERSITY, BANGLADESH",4,355,1,3,,"✓
1(15)","✓
1(80)","✓
2(190)","✓
2(70)",,
77,IU_NULL_VOID,"ISLAMIC UNIVERSITY, BANGLADESH",4,445,1,,,"✓
1(18)","✓
4(203)","✓
1(134)","✓
1(90)",,
78,BUET_WhiteRabbits,BANGLADESH UNIVERSITY OF ENGINEERING AND TECHNOLOGY,4,393,1,,4,"✓
1(23)","✓
3(111)","✓
2(203)","✓
2(56)",,
