University Name,Total Teams Participated,Teams Solved At Least 1 Problem
DAFFODIL INTERNATIONAL UNIVERSITY,317,87
INTERNATIONAL ISLAMIC UNIVERSITY CHITTAGONG,157,81
BANGLADESH UNIVERSITY OF BUSINESS AND TECHNOLOGY,470,77
BANGLADESH UNIVERSITY OF ENGINEERING AND TECHNOLOGY,53,41
MAWLANA BHASHANI SCIENCE AND TECHNOLOGY UNIVERSITY,49,40
UNIVERSITY OF DHAKA,37,34
SHAHJALAL UNIVERSITY OF SCIENCE AND TECHNOLOGY,33,32
ISLAMIC UNIVERSITY OF TECHNOLOGY,46,30
CHITTAGONG UNIVERSITY OF ENGINEERING & TECHNOLOGY,30,28
AMERICAN INTERNATIONAL UNIVERSITY - BANGLADESH,28,24
JAHANGIRNAGAR UNIVERSITY,26,24
NORTH SOUTH UNIVERSITY,41,23
"SOUTHEAST UNIVERSITY, BANGLADESH",31,22
RAJSHAHI UNIVERSITY OF ENGINEERING & TECHNOLOGY,22,21
METROPOLITAN UNIVERSITY,29,20
EAST WEST UNIVERSITY,24,18
COMILLA UNIVERSITY,18,17
AHSANULLAH UNIVERSITY OF SCIENCE AND TECHNOLOGY,18,16
MILITARY INSTITUTE OF SCIENCE AND TECHNOLOGY,17,16
BANGLADESH UNIVERSITY OF PROFESSIONALS,25,15
DHAKA UNIVERSITY OF ENGINEERING & TECHNOLOGY - GAZIPUR,19,14
NOAKHALI SCIENCE AND TECHNOLOGY UNIVERSITY,19,14
UNIVERSITY OF RAJSHAHI,15,14
KHULNA UNIVERSITY OF ENGINEERING AND TECHNOLOGY,14,14
UNIVERSITY OF ASIA PACIFIC,103,13
INTERNATIONAL UNIVERSITY OF BUSINESS AGRICULTURE AND TECHNOLOGY,19,13
"ISLAMIC UNIVERSITY, BANGLADESH",19,13
BRAC UNIVERSITY,17,13
UNIVERSITY OF CHITTAGONG,12,11
BANGABANDHU SHEIKH MUJIBUR RAHMAN SCIENCE AND TECHNOLOGY UNIVERSITY,11,11
SHANTO-MARIAM UNIVERSITY OF CREATIVE TECHNOLOGY,23,10
UNIVERSITY OF INFORMATION TECHNOLOGY & SCIENCES,14,10
KHULNA UNIVERSITY,11,10
HAJEE MOHAMMAD DANESH SCIENCE AND TECHNOLOGY UNIVERSITY,10,10
KHULNA UNIVERSITY OF ENGINEERING & TECHNOLOGY,10,10
PATUAKHALI SCIENCE AND TECHNOLOGY UNIVERSITY,11,9
DHAKA CITY COLLEGE,10,9
SYLHET ENGINEERING COLLEGE,10,9
"LEADING UNIVERSITY, SYLHET",9,9
"EAST DELTA UNIVERSITY, CHITTAGONG",20,8
UNITED INTERNATIONAL UNIVERSITY,19,8
DAFFODIL INSTITUTE OF INFORMATION TECHNOLOGY,18,8
INDEPENDENT UNIVERSITY - BANGLADESH,13,8
PABNA UNIVERSITY OF SCIENCE AND TECHNOLOGY,13,8
PREMIER UNIVERSITY CHITTAGONG,10,8
GREEN UNIVERSITY OF BANGLADESH,9,8
KHWAJA YUNUS ALI UNIVERSITY,8,8
UNIVERSITY OF BARISHAL,8,8
BANGLADESH ARMY UNIVERSITY OF SCIENCE & TECHNOLOGY,28,7
UTTARA UNIVERSITY,12,7
BGC TRUST UNIVERSITY BANGLADESH,11,7
RANGAMATI SCIENCE & TECHNOLOGY UNIVERSITY,10,7
R. P. SHAHA UNIVERSITY,9,7
"JAGANNATH UNIVERSITY, BANGLADESH",8,7
"BEGUM ROKEYA UNIVERSITY, RANGPUR",7,7
JASHORE UNIVERSITY OF SCIENCE AND TECHNOLOGY,7,7
"BANGABANDHU SHEIKH MUJIBUR RAHMAN UNIVERSITY, KISHOREGANJ",10,6
TEJGAON COLLEGE,10,6
NATIONAL INSTITUTE OF TEXTILE ENGINEERING AND RESEARCH,9,6
JATIYA KABI KAZI NAZRUL ISLAM UNIVERSITY,8,6
NORTHERN UNIVERSITY BANGLADESH,8,6
VARENDRA UNIVERSITY,8,6
"BANGABANDHU SHEIKH MUJIBUR RAHMAN DIGITAL UNIVERSITY,BANGLADESH",6,6
SHEIKH HASINA UNIVERSITY,6,6
BANGLADESH UNIVERSITY,13,5
INSTITUTE OF SCIENCE AND TECHNOLOGY,12,5
PORT CITY INTERNATIONAL UNIVERSITY,11,5
BANGLADESH OPEN UNIVERSITY,5,5
HAMDARD UNIVERSITY BANGLADESH,5,5
"NORTH WESTERN UNIVERSITY, KHULNA",34,4
CITY UNIVERSITY,24,4
DHAKA INTERNATIONAL UNIVERSITY,17,4
INSTITUTE OF SCIENCE TRADE AND TECHNOLOGY,11,4
Z. H. SIKDER UNIVERSITY OF SCIENCE AND TECHNOLOGY,8,4
CHANDPUR SCIENCE AND TECHNOLOGY UNIVERSITY,7,4
FARIDPUR ENGINEERING COLLEGE,7,4
NORTHERN UNIVERSITY OF BUSINESS AND TECHNOLOGY KHULNA,7,4
BANGLADESH ARMY UNIVERSITY OF ENGINEERING & TECHNOLOGY,6,4
NORTH EAST UNIVERSITY BANGLADESH,6,4
UNIVERSITY OF SCHOLARS,6,4
