University,Number_of_Teams
Bangladesh University of Business and Technology,197
International Islamic University Chittagong,69
Daffodil International University,66
University of Asia Pacific,56
"Southeast University, Bangladesh",44
University of Dhaka,43
Mawlana Bhashani Science and Technology University,37
Rajshahi University of Engineering & Technology,36
Khulna University of Engineering and Technology,32
Shahjalal University of Science and Technology,32
Comilla University,31
Jahangirnagar University,31
Bangladesh University of Engineering and Technology,31
Islamic University of Technology,31
American International University - Bangladesh,31
International University of Business Agriculture and Technology,29
Independent University - Bangladesh,29
Noakhali Science and Technology University,29
City University,29
North South University,26
Rangamati Science and Technology University,24
Bangladesh University of Professionals,24
Chittagong University of Engineering & Technology,23
Patuakhali Science and Technology University,22
Metropolitan University,22
Ahsanullah University of Science and Technology,22
"East Delta University, Chittagong",21
Premier University Chittagong,21
Bangladesh Army University of Science & Technology,21
Military Institute of Science and Technology,18
Sylhet International University,18
Institute of Science and Technology,17
"University of Frontier Technology, Bangladesh",16
Pabna University of Science and Technology,16
Sunamgonj Science and Technology University,16
"Islamic University, Bangladesh",16
Shanto-Mariam University of Creative Technology,15
Netrokona University,15
Dhaka University of Engineering & Technology - Gazipur,14
University of Rajshahi,14
"Begum Rokeya University, Rangpur",14
United International University,14
Hajee Mohammad Danesh Science and Technology University,14
University of Information Technology & Sciences,13
East West University,13
Dhaka International University,12
National Institute of Textile Engineering and Research,12
Dhaka City College,12
Chandpur Science and Technology University,12
Bangladesh Agricultural University,11
University of Barishal,11
Gopalganj Science and Technology University,11
"Jagannath University, Bangladesh",11
University of Chittagong,10
"Leading University, Sylhet",10
"North Western University, Khulna",10
Presidency University - Bangladesh,10
BRAC University,9
Mymensingh Engineering College,9
Jashore University of Science and Technology,9
Port City International University,9
Tejgaon College,9
Green University Of Bangladesh,9
University of Liberal Arts Bangladesh,8
Bangladesh Army University of Engineering & Technology,8
Sylhet Engineering College,8
Bangladesh Army International University of Science and Technology,8
Khwaja Yunus Ali University,7
Varendra University,7
Kishoreganj University,7
Manarat International University,7
Prime University,6
University of Scholars,6
Bangladesh University,6
Jamalpur Science and Technology University,6
Pundra University of Science & Technology,6
R. P. Shaha University,6
Northern University of Business and Technology Khulna,6
"University of Creative Technology, Chittagong",6
Northern University Bangladesh,6
Bangladesh Open University,5
Uttara University,5
Teesta University,5
Jatiya Kabi Kazi Nazrul Islam University,5
Asian University of Bangladesh,5
Khulna Khan Bahadur Ahsanullah University,5
World University of Bangladesh,5
Khulna University,5
International Standard University,5
Feni University,5
Z. H. Sikder University of Science and Technology,5
Chittagong Independent University,4
Pirojpur Science and Technology University,4
"College of Business Science and Technology, Mymensingh",4
Notre Dame University Bangladesh,4
Faridpur Engineering College,4
North East University Bangladesh,4
BGC Trust University Bangladesh,4
Southern University Bangladesh,4
Daffodil Institute of Information Technology,4
Brahmaputra International University,3
Institute of Science Trade and Technology,3
European University of Bangladesh,3
State University of Bangladesh,3
CCN University of Science & Technology,3
Stamford University Bangladesh,3
Eastern University of Bangladesh,3
University of Global Village,3
Atish Dipankar University of Science & Technology,3
Gono Bishwabidyalay (Gono University),3
"Imperial College of Engineering, Khulna",2
Sonargaon University,2
University of Science and Technology Chittagong,2
College Of Technology (Narayanganj),2
Canadian University of Bangladesh,2
Delta Computer Science College,2
German University Bangladesh,2
TMSS Engineering College,2
Dhaka Commerce College,2
Bandarban University,2
"Rangpur Engineering College,Rangpur",2
Hamdard University Bangladesh,2
Cox's Bazar International University,1
Times University Bangladesh,1
Rangpur Polytechnic Institute,1
Shahjala University of Science and Technology,1
"National University, Bangladesh",1
Pabna Engineering College,1
Thakurgaon Polytechnic Institute,1
Daffodil Polytechnic Institute,1
New Model University College,1
Shyamoli Engineering College,1
International University of Scholars,1
"United College of Aviation, Science and Management",1
Comilla Polytechnic Institute,1
International Islami University of Science and Technology Bangladesh,1
Brahmanbaria Polytechnic Institute,1
